brand,model,year,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,kz_registration,imgs_count,g_start_year,g_end_year,g_is_current,g_number,g_is_restyling,g_age_car_release,g_span,generation_number_missing,is_premium,city_name,region,city_tier,is_big_city,is_electric,car_age,is_new_car,is_recent_car,is_old_car,age_bucket,is_metallic,base_color,color_known,log_mileage,mileage_per_year,log_mileage_per_year,has_low_mileage,has_high_mileage,is_automatic_like,body_segment,log_imgs_count,has_few_photos,has_many_photos,brand_model
Audi,100,1994,Седан,бензин,2.3,2000,Механика,Передний привод,1,1,16,1990.0,1994.0,0.0,4.0,0.0,4.0,4.0,0,1,Талдыкорган,Жетысуская область,regional_center,0,0,32,0,0,1,20_plus,1,серебристый,1,7.601402334583733,62.5,4.151039905898646,1,0,0,sedan_like,2.833213344056216,0,1,Audi__100
Lexus,ES 250,2022,Седан,бензин,2.5,80000,Автомат,Передний привод,1,1,32,2018.0,2026.0,1.0,7.0,0.0,4.0,8.0,0,1,Астана,Акмолинская область,tier_1,1,0,4,0,0,0,4_7,0,unknown,0,11.289794413577894,20000.0,9.90353755128617,0,0,1,sedan_like,3.4965075614664802,0,1,Lexus__ES 250
Hyundai,Sonata,2017,Седан,газ,2.0,123000,Автомат,Передний привод,1,1,13,2017.0,2022.0,0.0,7.0,1.0,0.0,5.0,0,0,Алматы,Алматинская область,tier_1,1,0,9,0,0,0,8_12,1,серебристый,1,11.719947764402807,13666.666666666666,9.522788225073196,0,0,1,sedan_like,2.639057329615259,0,0,Hyundai__Sonata
Mercedes-Benz,ML 350,2004,Внедорожник,бензин,3.7,257440,Автомат,Полный привод,1,1,2,2001.0,2005.0,0.0,0.0,1.0,3.0,4.0,1,1,Актау,Мангистауская область,regional_center,0,0,22,0,0,1,20_plus,1,серебристый,1,12.458545846618915,11701.818181818182,9.36758496202214,0,0,1,suv_like,1.0986122886681096,1,0,Mercedes-Benz__ML 350
Toyota,Camry,2004,Седан,бензин,2.4,346000,Автомат,Передний привод,1,1,5,2001.0,2004.0,0.0,0.0,0.0,3.0,3.0,1,0,Кокшетау,Акмолинская область,regional_center,0,0,22,0,0,1,20_plus,0,черный,1,12.754196944209095,15727.272727272728,9.66321518247521,0,0,1,sedan_like,1.791759469228055,0,0,Toyota__Camry
BMW,X5,2022,Кроссовер,бензин,3.0,90000,Автомат,Полный привод,1,1,25,2018.0,2026.0,1.0,0.0,0.0,4.0,8.0,1,1,Шымкент,Туркестанская область,tier_2,1,0,4,0,0,0,4_7,0,белый,1,11.407576060361786,22500.0,10.021315031649332,0,0,1,suv_like,3.258096538021482,0,1,BMW__X5
Toyota,Camry,2004,Седан,бензин,3.0,7777,Автомат,Передний привод,1,1,5,2004.0,2006.0,0.0,0.0,1.0,0.0,2.0,1,0,Туркестан,Туркестанская область,regional_center,0,0,22,0,0,1,20_plus,0,серебристый,1,8.959054514715692,353.5,5.870708345972182,1,0,1,sedan_like,1.791759469228055,0,0,Toyota__Camry
BMW,M5,2012,Седан,бензин,4.4,108546,Робот,Задний привод,1,1,12,2011.0,2013.0,0.0,0.0,0.0,1.0,2.0,1,1,Алматы,Алматинская область,tier_1,1,0,14,0,0,0,13_20,1,белый,1,11.594938537890902,7753.285714285715,8.956000964893493,0,0,1,sedan_like,2.5649493574615367,0,0,BMW__M5
Mercedes-Benz,GLE 450,2020,Кроссовер,бензин,3.0,50000,Автомат,Полный привод,1,1,12,2019.0,2026.0,1.0,0.0,0.0,1.0,7.0,1,1,Астана,Акмолинская область,tier_1,1,0,6,0,0,0,4_7,0,unknown,0,10.819798284210286,8333.333333333334,9.028138807982804,0,0,1,suv_like,2.5649493574615367,0,0,Mercedes-Benz__GLE 450
Audi,A6,1996,Седан,бензин,2.6,111111,Механика,Передний привод,1,1,7,1994.0,1997.0,0.0,0.0,0.0,2.0,3.0,1,1,Кызылорда,Кызылординская область,regional_center,0,0,30,0,0,1,20_plus,0,unknown,0,11.618293980596055,3703.7,8.217357562791886,1,0,0,sedan_like,2.0794415416798357,0,0,Audi__A6
