brand,model,year,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,kz_registration,imgs_count,price,g_start_year,g_end_year,g_is_current,g_number,g_is_restyling,g_age_car_release,g_span,generation_number_missing,target_log_price,is_premium,city_name,region,city_tier,is_big_city,is_electric,car_age,is_new_car,is_recent_car,is_old_car,age_bucket,is_metallic,base_color,color_known,log_mileage,mileage_per_year,log_mileage_per_year,has_low_mileage,has_high_mileage,is_automatic_like,body_segment,log_imgs_count,has_few_photos,has_many_photos,brand_model
Chevrolet,Captiva,2012,Кроссовер,бензин,2.4,230000,Механика,Полный привод,1,1,6,5100000,2011.0,2013.0,0.0,1.0,1.0,1.0,2.0,0,15.444751293772967,0,Степногорск,Акмолинская область,other_city,0,0,14,0,0,0,13_20,0,белый,1,12.345838935721968,16428.571428571428,9.706838126002815,0,0,0,suv_like,1.9459101490553132,0,0,Chevrolet__Captiva
Audi,A6,2004,Универсал,бензин,2.7,310000,Автомат,Полный привод,1,1,8,2400000,2001.0,2005.0,0.0,0.0,1.0,3.0,4.0,1,14.690979711984754,1,Актобе,Актюбинская область,regional_center,0,0,22,0,0,1,20_plus,1,серебристый,1,12.644330802262578,14090.90909090909,9.553356088326858,0,0,1,compact_wagon,2.1972245773362196,0,0,Audi__A6
Audi,80,1994,Седан,бензин,2.0,340000,Автомат,Передний привод,1,1,22,2000000,1991.0,1996.0,0.0,0.0,0.0,3.0,5.0,1,14.508658238524095,1,Алматы,Алматинская область,tier_1,1,0,32,0,0,1,20_plus,1,бордовый,1,12.73670383776449,10625.0,9.271059107010888,0,0,1,sedan_like,3.1354942159291497,0,1,Audi__80
Lexus,ES 250,2023,Седан,бензин,2.5,52000,Автомат,Передний привод,1,1,37,23900000,2018.0,2026.0,1.0,7.0,0.0,5.0,8.0,0,16.98938905874274,1,Шымкент,Туркестанская область,tier_2,1,0,3,0,1,0,2_3,1,серый,1,10.859018228147887,17333.333333333332,9.76044439953901,0,0,1,sedan_like,3.6375861597263857,0,1,Lexus__ES 250
Mercedes-Benz,C 280,1997,Седан,бензин,2.8,324324,Автомат,Задний привод,1,1,10,2400000,1997.0,2001.0,0.0,0.0,1.0,0.0,4.0,1,14.690979711984754,1,Астана,Акмолинская область,tier_1,1,0,29,0,0,1,20_plus,1,синий,1,12.689501378439212,11183.586206896553,9.322291877879719,0,0,1,sedan_like,2.3978952727983707,0,0,Mercedes-Benz__C 280
Mercedes-Benz,C 220,1995,Седан,бензин,2.2,230000,Механика,Задний привод,1,1,10,2000000,1993.0,1997.0,0.0,0.0,0.0,2.0,4.0,1,14.508658238524095,1,Кызылорда,Кызылординская область,regional_center,0,0,31,0,0,1,20_plus,1,зеленый,1,12.345838935721968,7419.354838709677,8.911982156946522,0,0,0,sedan_like,2.3978952727983707,0,0,Mercedes-Benz__C 220
Audi,100,1991,Седан,бензин,2.3,234000,Механика,Передний привод,1,1,7,2450000,1990.0,1994.0,0.0,4.0,0.0,1.0,4.0,0,14.711598990684092,1,Алматы,Алматинская область,tier_1,1,0,35,0,0,1,20_plus,1,синий,1,12.36308066783498,6685.714285714285,8.807877894315125,0,0,0,sedan_like,2.0794415416798357,0,0,Audi__100
Hyundai,Elantra,2023,Седан,бензин,1.6,49000,Автомат,Передний привод,1,1,11,9200000,2023.0,2026.0,1.0,7.0,1.0,0.0,3.0,0,16.034714150714915,0,Шымкент,Туркестанская область,tier_2,1,0,3,0,1,0,2_3,1,серый,1,10.799595985047786,16333.333333333334,9.701024511040307,0,0,1,sedan_like,2.4849066497880004,0,0,Hyundai__Elantra
Toyota,Camry,2009,Седан,бензин,2.4,200000,Автомат,Передний привод,1,1,30,7700000,2009.0,2011.0,0.0,0.0,1.0,0.0,2.0,1,15.856731016694035,0,Караганда,Карагандинская область,regional_center,0,0,17,0,0,1,13_20,0,серебристый,1,12.206077645517674,11764.70588235294,9.372944297861663,0,0,1,sedan_like,3.4339872044851463,0,1,Toyota__Camry
Mercedes-Benz,C 200,2007,Седан,бензин,1.8,321000,Автомат,Задний привод,1,1,14,4500000,2006.0,2011.0,0.0,0.0,0.0,1.0,5.0,1,15.319588176962746,1,Алматы,Алматинская область,tier_1,1,0,19,0,0,1,13_20,0,белый,1,12.679199517372098,16894.736842105263,9.734816611225204,0,0,1,sedan_like,2.70805020110221,0,0,Mercedes-Benz__C 200
